0	[38]	logistic	1.0	0.428260869565	0.426086956522	0.458198220944	-0.567978619993	
3853	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	ridge	1.0	0.797826086957	0.228260869565	-0.60348756938	[[ 0.15782478]   [ 0.20344667]   [ 0.23870504]   [ 0.08181866]   [-0.25458003]   [ 0.08199034]   [-0.08118673]   [-0.03645132]   [-0.10432301]   [ 0.93395544]   [ 0.00140889]]	
4623	[1, 5, 8, 15, 16, 25, 27, 41, 43, 47, 48, 49, 54]	ridge	1.0	0.786956521739	0.226086956522	-0.331084518036	[[ 0.24360705]   [ 0.21974233]   [ 0.4708975 ]   [ 0.57590298]   [ 0.32929158]   [-0.11257786]   [-0.03960236]   [-0.17413535]   [-0.4036081 ]   [-0.37602013]   [-0.20760132]   [-0.14577981]   [ 0.15220866]]	
3084	[1, 3, 8, 15, 19, 31, 43, 48, 49]	svm	1.0	0.728260869565	0.188043478261	-0.515534801187	[[ 0.26501386]   [ 0.24692087]   [ 0.65483656]   [ 1.18339705]   [ 0.11607445]   [-1.17360313]   [-1.06705763]   [-1.18325516]   [-0.15007835]]	
4	[38]	svm	1.0	0.619565217391	0.0	-0.202658438333	-0.219716782056	
774	[1, 33, 45]	svm	1.0	0.629347826087	0.054347826087	-0.149481868729	[[ 0.4127652 ]   [-0.65404573]   [-0.27437643]]	
1544	[6, 13, 29, 33, 48]	svm	1.0	0.65652173913	0.117391304348	-0.225453726764	[[ 0.7300623 ]   [ 0.41099551]   [-2.10790942]   [-0.58373428]   [-1.22461478]]	
2314	[8, 18, 20, 21, 28, 42, 57]	svm	1.0	0.789130434783	0.234782608696	-0.583932786452	[[  4.31891461e-01]   [  2.91689239e-01]   [  8.23060963e-01]   [  2.50189070e-01]   [ -3.48427684e-01]   [ -1.02014622e+00]   [  4.28709325e-04]]	
3854	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	svm	1.0	0.828260869565	0.267391304348	-0.6903086237	[[ 0.16087111]   [ 0.24984265]   [ 0.20730674]   [ 0.09708494]   [-2.22603171]   [-0.62073759]   [-0.07511268]   [-0.12565203]   [-0.91127587]   [ 2.66960564]   [ 0.0041559 ]]	
4624	[1, 5, 8, 15, 16, 25, 27, 41, 43, 47, 48, 49, 54]	svm	1.0	0.853260869565	0.286956521739	-0.214870100998	[[ 0.19397817]   [ 0.26868895]   [ 0.58519217]   [ 0.90886974]   [ 0.52571234]   [-0.8074924 ]   [-1.70665933]   [-1.88938811]   [-0.56884809]   [-0.55077271]   [-0.98140868]   [-0.28031352]   [ 1.26235518]]	
5	[38]	svm	1.0	0.608695652174	0.0	-0.208264837007	-0.26200017935	
3085	[1, 3, 8, 15, 19, 31, 43, 48, 49]	svm	1.0	0.721739130435	0.188043478261	-0.512754838111	[[ 0.25361103]   [ 0.27195725]   [ 0.56143047]   [ 0.90945365]   [ 0.11497619]   [-1.12602466]   [-1.03782357]   [-1.07579229]   [-0.11813403]]	
1545	[6, 13, 29, 33, 48]	svm	1.0	0.703260869565	0.121739130435	-0.208062296289	[[ 0.70365192]   [ 0.47303156]   [-2.12437958]   [-0.52840721]   [-1.22523619]]	
775	[1, 33, 45]	svm	1.0	0.670652173913	0.0641304347826	-0.128150186623	[[ 0.37830453]   [-0.62385436]   [-0.29497806]]	
2315	[8, 18, 20, 21, 28, 42, 57]	svm	1.0	0.764130434783	0.207608695652	-0.604731392907	[[  4.14313615e-01]   [  3.47702383e-01]   [  7.42471952e-01]   [  2.69952833e-01]   [ -3.65403574e-01]   [ -1.01160876e+00]   [  4.12399377e-04]]	
3855	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	svm	1.0	0.826086956522	0.292391304348	-0.700337679294	[[ 0.19628869]   [ 0.20643533]   [ 0.21553417]   [ 0.07344267]   [-1.33174954]   [-0.64087231]   [-0.10044546]   [-0.09942704]   [-0.8450592 ]   [ 2.66066074]   [ 0.00391974]]	
4625	[1, 5, 8, 15, 16, 25, 27, 41, 43, 47, 48, 49, 54]	svm	1.0	0.846739130435	0.29347826087	-0.234417881002	[[ 0.19003391]   [ 0.28113957]   [ 0.52247698]   [ 0.90378956]   [ 0.56350143]   [-0.79494088]   [-1.66197883]   [-1.99490477]   [-0.51811573]   [-0.56044809]   [-1.11677221]   [-0.23804389]   [ 0.97976591]]	
6	[38]	svm	1.0	0.611956521739	0.0	-0.206405795773	-0.248347245752	
1546	[6, 13, 29, 33, 48]	svm	1.0	0.685869565217	0.115217391304	-0.205500205124	[[ 0.709568  ]   [ 0.33532295]   [-2.10883404]   [-0.53771326]   [-1.51361387]]	
776	[1, 33, 45]	svm	1.0	0.644565217391	0.0608695652174	-0.13924510231	[[ 0.35472957]   [-0.6129378 ]   [-0.27039407]]	
3086	[1, 3, 8, 15, 19, 31, 43, 48, 49]	svm	1.0	0.707608695652	0.189130434783	-0.542219522592	[[ 0.26149328]   [ 0.23434761]   [ 0.65247969]   [ 0.79559262]   [ 0.13872194]   [-1.30159099]   [-0.97951514]   [-1.10218341]   [-0.12765645]]	
2316	[8, 18, 20, 21, 28, 42, 57]	svm	1.0	0.779347826087	0.236956521739	-0.602729077379	[[  3.83014792e-01]   [  3.19253306e-01]   [  6.59658626e-01]   [  2.55049847e-01]   [ -2.32309929e-01]   [ -9.13025074e-01]   [  4.29975438e-04]]	
3856	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	svm	1.0	0.821739130435	0.279347826087	-0.710354179742	[[ 0.16311003]   [ 0.26714109]   [ 0.220302  ]   [ 0.08625243]   [-1.33682292]   [-0.88182847]   [-0.03606911]   [-0.1384122 ]   [-0.81373527]   [ 2.48633884]   [ 0.00410604]]	
4626	[1, 5, 8, 15, 16, 25, 27, 41, 43, 47, 48, 49, 54]	svm	1.0	0.835869565217	0.284782608696	-0.25236903492	[[ 0.22626784]   [ 0.28647563]   [ 0.5301823 ]   [ 0.96628923]   [ 0.57376191]   [-0.86976036]   [-1.33372179]   [-1.95345171]   [-0.56835097]   [-0.53366931]   [-1.0989869 ]   [-0.25994966]   [ 1.07241205]]	
7	[38]	logistic	1.0	0.377173913043	0.372826086957	0.403181382545	-0.965404769473	
1547	[6, 13, 29, 33, 48]	logistic	1.0	0.53152173913	0.376086956522	0.448766665955	[[  2.16466951]   [  0.77766044]   [-10.02366284]   [ -1.81114663]   [ -6.4450853 ]]	
