0	[38]	ridge	0.7	0.610869565217	0.0	-0.207545343352	-0.130111750744	
2203	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	svm	0.5	0.826086956522	0.266304347826	-0.747226155998	[[ 0.14528288]   [ 0.29088272]   [ 0.19204644]   [ 0.0693059 ]   [-2.71856939]   [-0.84483584]   [-0.14649079]   [-0.17931544]   [-1.04502465]   [ 2.69056325]   [ 0.00694584]]	
3	[38]	svm	0.5	0.596739130435	0.0	-0.213875763292	-0.239565514346	
443	[1, 33, 45]	svm	0.5	0.633695652174	0.054347826087	-0.139543244814	[[ 0.40976   ]   [-0.66530339]   [-0.29586931]]	
1323	[8, 18, 20, 21, 28, 42, 57]	svm	0.5	0.779347826087	0.24347826087	-0.607461212179	[[  5.46799382e-01]   [  2.77224102e-01]   [  7.88481399e-01]   [  2.58222733e-01]   [ -2.51595941e-01]   [ -1.09929100e+00]   [  4.67563007e-04]]	
884	[6, 13, 29, 33, 48]	ridge	0.7	0.669565217391	0.114130434783	-0.269798625993	[[ 0.7505333 ]   [ 0.34824119]   [-0.21486657]   [-0.23005261]   [-0.2452843 ]]	
1764	[1, 3, 8, 15, 19, 31, 43, 48, 49]	ridge	0.7	0.703260869565	0.177173913043	-0.526838332885	[[ 0.27579192]   [ 0.20949219]   [ 0.42241528]   [ 0.63244861]   [ 0.11672254]   [-0.2466523 ]   [-0.48784174]   [-0.21193247]   [-0.148873  ]]	
2644	[1, 5, 8, 15, 16, 25, 27, 41, 43, 47, 48, 49, 54]	ridge	0.7	0.75	0.194565217391	-0.329458858808	[[ 0.25961287]   [ 0.2764387 ]   [ 0.3772726 ]   [ 0.56970862]   [ 0.23538185]   [-0.11705954]   [-0.04323026]   [-0.18341992]   [-0.40580874]   [-0.45222932]   [-0.19995086]   [-0.13884427]   [ 0.14637541]]	
2204	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	ridge	0.7	0.771739130435	0.230434782609	-0.580382259338	[[  2.10700862e-01]   [  2.38480829e-01]   [  2.33080099e-01]   [  1.03060861e-01]   [ -3.08123646e-01]   [  1.62989217e-01]   [ -1.04088972e-01]   [ -4.71415367e-02]   [ -1.14662112e-01]   [  9.11138258e-01]   [  5.08132590e-04]]	
1324	[8, 18, 20, 21, 28, 42, 57]	ridge	0.7	0.757608695652	0.204347826087	-0.564902799529	[[ 0.26581374]   [ 0.24503379]   [ 0.20841512]   [ 0.25672163]   [-0.18970775]   [-0.11249237]   [ 0.0003108 ]]	
4	[38]	ridge	0.7	0.613043478261	0.0	-0.206331896065	-0.13415844912	
444	[1, 33, 45]	ridge	0.7	0.654347826087	0.0478260869565	-0.180145400543	[[ 0.33984873]   [-0.19592666]   [-0.13865322]]	
885	[6, 13, 29, 33, 48]	ridge	0.5	0.677173913043	0.103260869565	-0.269989983115	[[ 0.71844656]   [ 0.32849959]   [-0.19262743]   [-0.17561512]   [-0.23287377]]	
2645	[1, 5, 8, 15, 16, 25, 27, 41, 43, 47, 48, 49, 54]	ridge	0.5	0.775	0.202173913043	-0.321182852413	[[ 0.24956451]   [ 0.26612311]   [ 0.36582041]   [ 0.59465258]   [ 0.27333216]   [-0.11283881]   [-0.041149  ]   [-0.19048528]   [-0.38792688]   [-0.49205964]   [-0.20556595]   [-0.14943466]   [ 0.13902157]]	
1765	[1, 3, 8, 15, 19, 31, 43, 48, 49]	ridge	0.5	0.698913043478	0.197826086957	-0.550021194086	[[ 0.23315043]   [ 0.25577677]   [ 0.52754462]   [ 0.55466711]   [ 0.11941184]   [-0.18453083]   [-0.48582112]   [-0.23414554]   [-0.1673182 ]]	
2205	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	ridge	0.5	0.779347826087	0.228260869565	-0.57577874859	[[  1.86032571e-01]   [  2.46516182e-01]   [  2.44402113e-01]   [  1.02537972e-01]   [ -1.51641281e-01]   [  1.46927662e-02]   [ -1.07225666e-01]   [ -5.84776650e-02]   [ -1.15873917e-01]   [  8.44814700e-01]   [  5.32792861e-04]]	
1325	[8, 18, 20, 21, 28, 42, 57]	ridge	0.5	0.754347826087	0.213043478261	-0.564200173757	[[  3.12259903e-01]   [  2.72033668e-01]   [  2.05144417e-01]   [  2.48638576e-01]   [ -1.86348933e-01]   [ -1.12444659e-01]   [  3.01771994e-04]]	
