features	accuracy	lamda	sensitivity	classibias
[50]	0.630434782609	0.5	0.0	-0.158040658136
[16  28  57]	0.692391304348	0.5	0.139130434783	-0.426255837186
[14  26  30  35  36  53  55]	0.805434782609	0.5	0.222826086957	-0.6752393108
[7  13  15  21  22  23  33  40  46  47  49]	0.825	0.5	0.257608695652	-0.578995722367
[6  13  29  33  48]	0.719565217391	0.7	0.126086956522	-0.194589052883
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.838043478261	0.7	0.273913043478	-0.237598019174
[1  3  8  15  19  31  43  48  49]	0.728260869565	0.7	0.198913043478	-0.520274764583
[8  18  20  21  28  42  57]	0.761956521739	0.7	0.223913043478	-0.60013380737
[38]	0.585869565217	0.7	0.0	-0.219474373656
[1  33  45]	0.654347826087	0.7	0.045652173913	-0.130277096942
[3  18  21  22  31  32  36  38  42  53  56]	0.835869565217	0.7	0.264130434783	-0.683050564566
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.832608695652	0.5	0.267391304348	-0.240556126465
[6  13  29  33  48]	0.70652173913	0.5	0.136956521739	-0.203436144193
[1  3  8  15  19  31  43  48  49]	0.719565217391	0.5	0.180434782609	-0.517723993085
[8  18  20  21  28  42  57]	0.763043478261	0.5	0.244565217391	-0.606339283
[38]	0.613043478261	0.5	0.0	-0.206358798138
[3  18  21  22  31  32  36  38  42  53  56]	0.815217391304	0.5	0.265217391304	-0.700834790752
[1  33  45]	0.639130434783	0.5	0.0510869565217	-0.130600963795
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.805434782609	0.7	0.229347826087	-0.513846504752
[1  19  33  35  40]	0.686956521739	0.7	0.158695652174	-0.351715506129
[1  13  15  17  25  36  43  56  57]	0.79347826087	0.7	0.209782608696	-0.399503360592
[16  22  24  29  41  49  54]	0.755434782609	0.7	0.169565217391	-0.296193936886
[46]	0.602173913043	0.7	0.0	-0.154830438017
[13  15  18  20  30  31  32  39  41  43  56]	0.769565217391	0.7	0.234782608696	-0.528227829996
[23  42  47]	0.746739130435	0.7	0.116304347826	-0.290600182607
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.816304347826	0.5	0.234782608696	-0.497194784542
[1  19  33  35  40]	0.676086956522	0.5	0.161956521739	-0.370195289666
[1  13  15  17  25  36  43  56  57]	0.797826086957	0.5	0.240217391304	-0.481923991845
[16  22  24  29  41  49  54]	0.741304347826	0.5	0.167391304348	-0.279064193862
[23  42  47]	0.716304347826	0.5	0.122826086957	-0.311958994287
[46]	0.576086956522	0.5	0.0	-0.167090819175
[13  15  18  20  30  31  32  39  41  43  56]	0.788043478261	0.5	0.160869565217	-0.41087423079
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.825	0.7	0.247826086957	-0.367252346857
[14  24  38  47  54]	0.702173913043	0.7	0.0913043478261	-0.293868277573
[16  28  57]	0.707608695652	0.7	0.152173913043	-0.426145920991
[14  26  30  35  36  53  55]	0.807608695652	0.7	0.214130434783	-0.361898131312
[50]	0.625	0.7	0.0	-0.128297234013
[7  13  15  21  22  23  33  40  46  47  49]	0.820652173913	0.7	0.247826086957	-0.583709924015
[2  13  17  23  29  37  49  52  53]	0.807608695652	0.7	0.235869565217	-0.501115040288
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.829347826087	0.5	0.251086956522	-0.361284011666
[14  24  38  47  54]	0.669565217391	0.5	0.0891304347826	-0.318652618838
[14  26  30  35  36  53  55]	0.789130434783	0.5	0.234782608696	-0.61167667772
[50]	0.625	0.5	0.0	-0.161084635747
[16  28  57]	0.717391304348	0.5	0.142391304348	-0.402347897546
[2  13  17  23  29  37  49  52  53]	0.789130434783	0.5	0.227173913043	-0.481666275125
[7  13  15  21  22  23  33  40  46  47  49]	0.823913043478	0.5	0.232608695652	-0.586300407903
[2  7  10  23  24  25  28  33  34  35  38  54  57]	0.827173913043	0.7	0.245652173913	-0.466570723479
[4  25  32  35  56]	0.758695652174	0.7	0.182608695652	-0.254561604657
[2  6  14  15  33  34  37  38  39  49  54]	0.717391304348	0.7	0.110869565217	-0.18786272949
[6  9  11  19  27  34  38]	0.75652173913	0.7	0.222826086957	-0.46246517657
[31  42  55]	0.742391304348	0.7	0.178260869565	-0.637232401287
[8  21  26  30  33  35  37  50  55]	0.809782608696	0.7	0.247826086957	-0.39610991796
[44]	0.603260869565	0.7	0.0	-0.178832258746
[2  7  10  23  24  25  28  33  34  35  38  54  57]	0.839130434783	0.5	0.272826086957	-0.452575662737
[4  25  32  35  56]	0.734782608696	0.5	0.188043478261	-0.273776250509
[2  6  14  15  33  34  37  38  39  49  54]	0.69347826087	0.5	0.125	-0.207681853253
[6  9  11  19  27  34  38]	0.751086956522	0.5	0.214130434783	-0.465087307084
[31  42  55]	0.684782608696	0.5	0.0717391304348	-0.249555923167
[44]	0.598913043478	0.5	0.0	-0.178722568913
[8  21  26  30  33  35  37  50  55]	0.825	0.5	0.238043478261	-0.374777548354
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.844565217391	0.7	0.292391304348	-0.232988455254
[3  18  21  22  31  32  36  38  42  53  56]	0.829347826087	0.7	0.254347826087	-0.731958990513
[6  13  29  33  48]	0.705434782609	0.7	0.122826086957	-0.195122486983
[1  33  45]	0.63152173913	0.7	0.0586956521739	-0.143976364182
[38]	0.63152173913	0.7	0.0	-0.195643762485
[1  3  8  15  19  31  43  48  49]	0.733695652174	0.7	0.192391304348	-0.519477013039
[8  18  20  21  28  42  57]	0.764130434783	0.7	0.221739130435	-0.59000707639
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.85652173913	0.5	0.280434782609	-0.226225535145
[3  18  21  22  31  32  36  38  42  53  56]	0.836956521739	0.5	0.266304347826	-0.690924350619
[6  13  29  33  48]	0.65	0.5	0.111956521739	-0.229422430364
[38]	0.620652173913	0.5	0.0	-0.202389504466
[1  33  45]	0.622826086957	0.5	0.045652173913	-0.149183274967
[8  18  20  21  28  42  57]	0.789130434783	0.5	0.226086956522	-0.597478881508
[1  3  8  15  19  31  43  48  49]	0.711956521739	0.5	0.184782608696	-0.52176921353
[13  15  18  20  30  31  32  39  41  43  56]	0.786956521739	0.7	0.204347826087	-0.425629957427
[1  19  33  35  40]	0.663043478261	0.7	0.151086956522	-0.38466415639
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.79347826087	0.7	0.213043478261	-0.512860976913
[46]	0.609782608696	0.7	0.0	-0.149454309552
[23  42  47]	0.690217391304	0.7	0.0989130434783	-0.320786908542
[1  13  15  17  25  36  43  56  57]	0.790217391304	0.7	0.207608695652	-0.388373289834
[16  22  24  29  41  49  54]	0.735869565217	0.7	0.169565217391	-0.297742984263
[13  15  18  20  30  31  32  39  41  43  56]	0.767391304348	0.5	0.167391304348	-0.426894220548
